MFG_MONTH,Holiday,Days,,,,,
200111,1,30,,,,,
200112,1,31,,,,,
200201,2,31,,,,,
200202,5,28,,,,,
200203,1,31,,,,,
200204,2,30,,,,,
200205,1,31,,,,,
200206,1,30,,,,,
200209,2,30,,,,,
200210,3,31,,,,,
200212,1,31,,,,,
200301,2,31,,,,,
200302,6,28,,,,,
200304,1,30,,,,,
200305,1,31,,,,,
200306,1,30,,,,,
200309,1,30,,,,,
200310,1,31,,,,,
200401,6,31,,,,,
200406,1,30,,,,,
200409,1,30,,,,,
200501,1,31,,,,,
200502,6,28,,,,,
200504,2,30,,,,,
200505,1,31,,,,,
200509,1,30,,,,,
200510,1,31,,,,,
200601,4,31,,,,,
200602,4,28,,,,,
200604,1,30,,,,,
200605,2,31,,,,,
200610,2,31,,,,,
200701,1,31,,,,,
200702,5,28,,,,,
200704,1,30,,,,,
200705,1,31,,,,,
200706,1,30,,,,,
200709,1,30,,,,,
200710,1,31,,,,,
200801,2,31,,,,,
200802,5,29,,,,,
200803,1,31,,,,,
200804,1,30,,,,,
200805,1,31,,,,,
200806,1,30,,,,,
200807,2,31,,,,,
200809,3,30,,,,,
200810,1,31,,,,,
200901,5,31,,,,,
200902,1,28,,,,,
200903,1,31,,,,,
200904,1,30,,,,,
200905,2,31,,,,,
200908,2,31,,,,,
200910,2,31,,,,,
201001,1,31,,,,,
201002,5,28,,,,,
201004,1,30,,,,,
201005,1,31,,,,,
201006,2,30,,,,,
201009,1,30,,,,,
201010,1,31,,,,,
201101,1,31,,,,,
201102,5,28,,,,,
201104,2,30,,,,,
201105,1,31,,,,,
201106,1,30,,,,,
201109,1,30,,,,,
201110,1,31,,,,,
201201,6,31,,,,,
201202,1,29,,,,,
201204,1,30,,,,,
201205,1,31,,,,,
201206,2,30,,,,,
201208,1,31,,,,,
201209,1,30,,,,,
201210,1,31,,,,,
201301,1,31,,,,,
201302,5,28,,,,,
201304,1,30,,,,,
201305,1,31,,,,,
201306,1,30,,,,,
201307,1,31,,,,,
201309,1,30,,,,,
201310,1,31,,,,,
201401,3,31,,,,,
201402,5,28,,,,,
201403,1,31,,,,,
201404,2,30,,,,,
201405,1,31,,,,,
201406,1,30,,,,,
201407,1,31,,,,,
201409,1,30,,,,,
201410,2,31,,,,,
201411,1,30,,,,,
201501,3,31,,,,,
201502,5,28,,,,,
201504,2,30,,,,,
201505,1,31,,,,,
201506,1,30,,,,,
201508,1,31,,,,,
201509,2,30,,,,,
201510,1,31,,,,,
201601,2,31,,,,,
201602,6,29,,,,,
201604,2,30,,,,,
201605,1,31,,,,,
201606,2,30,,,,,
201607,1,31,,,,,
201609,3,30,,,,,
201610,1,31,,,,,
201701,7,31,,,,,
201702,3,28,,,,,
201704,2,30,,,,,
201705,3,31,,,,,
201707,1,31,,,,,
201710,3,31,,,,,
201801,1,31,,,,,
201802,7,28,,,,,
201804,3,30,,,,,
201805,1,31,,,,,
201806,1,30,,,,,
201807,1,31,,,,,
201809,1,30,,,,,
201810,1,31,,,,,
201811,1,30,,,,,
201812,1,31,,,,,
201901,9,31,,,,,
201902,14,28,,,,,
201903,11,31,,,,,
201904,10,30,,,,,
201905,9,31,,,,,
201906,11,30,,,,,
201907,8,31,,,,,
201908,10,31,,,,,
201909,10,30,,,,,
201910,10,31,,,,,
201911,9,30,,,,,
201912,9,31,,,,,
202001,14,31,,,,,
202002,10,29,,,,,
202003,9,31,,,,,
202004,10,30,,,,,
202005,11,31,,,,,
202006,10,30,,,,,
202007,8,31,,,,,
202008,10,31,,,,,
202009,8,30,,,,,
202010,12,31,,,,,
202011,9,30,,,,,
202012,8,31,,,,,
202101,11,31,,,,,
202102,13,28,,,,,
202103,9,31,,,,,
202104,11,30,,,,,
202105,10,31,,,,,
202106,9,30,,,,,
202107,9,31,,,,,
202108,9,31,,,,,
202109,10,30,,,,,
202110,11,31,,,,,
202111,8,30,,,,,
202112,9,31,,,,,
201503,0,31,,,,,
201507,0,31,,,,,
201511,0,30,,,,,
201512,0,31,,,,,
201603,0,31,,,,,
201608,0,31,,,,,
201611,0,30,,,,,
201612,0,31,,,,,
201703,0,31,,,,,
201706,0,30,,,,,
201708,0,31,,,,,
201709,0,30,,,,,
201711,0,30,,,,,
201712,0,31,,,,,
201803,0,31,,,,,
201808,0,31,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
